layout,configuration,agent,depth,simulations,rollout_depth,games,average_score,median_score,std_score,min_score,max_score,wins,win_rate,total_time,average_time,status,error
smallClassic,Minimax_d1,MinimaxAgent,1,,,50,,-266.0,146.1121690943188,-641.0,25.0,0,0.0,13.90644645690918,0.2781289291381836,OK,
smallClassic,Minimax_d2,MinimaxAgent,2,,,50,,-352.5,343.5367959067034,-1337.0,230.0,0,0.0,57.933688163757324,1.1586737632751465,OK,
smallClassic,Minimax_d3,MinimaxAgent,3,,,50,,-169.0,322.857759669368,-1010.0,1309.0,1,2.0,136.41194081306458,2.7282388162612916,OK,
smallClassic,AlphaBeta_d1,AlphaBetaAgent,1,,,50,,-327.0,441.02860859505563,-1424.0,957.0,7,14.0,12.772403478622437,0.25544806957244875,OK,
smallClassic,AlphaBeta_d2,AlphaBetaAgent,2,,,50,,-330.5,345.74331478180756,-1069.0,820.0,2,4.0,59.236722230911255,1.184734444618225,OK,
smallClassic,AlphaBeta_d3,AlphaBetaAgent,3,,,50,,-270.0,621.9991017159599,-1562.0,1333.0,10,20.0,166.11649656295776,3.3223299312591554,OK,
smallClassic,Expectimax_d1,ExpectimaxAgent,1,,,50,,-241.0,166.1758820011654,-629.0,59.0,0,0.0,7.0951149463653564,0.14190229892730713,OK,
smallClassic,Expectimax_d2,ExpectimaxAgent,2,,,50,,-354.5,857.01576799715,-2305.0,1665.0,8,16.0,63.43348526954651,1.2686697053909302,OK,
smallClassic,Expectimax_d3,ExpectimaxAgent,3,,,50,,-249.5,824.6746551160525,-3052.0,1359.0,2,4.0,324.9443292617798,6.498886585235596,OK,
smallClassic,MCTS_s10_r4,MCTSAgent,,10,4,50,,475.5,658.3169516096299,-378.0,1634.0,24,48.0,91.21545433998108,1.8243090867996217,OK,
smallClassic,MCTS_s10_r6,MCTSAgent,,10,6,50,,65.0,659.6495520135152,-483.0,1661.0,14,28.0,93.86399912834167,1.8772799825668336,OK,
smallClassic,MCTS_s10_r8,MCTSAgent,,10,8,50,,-149.5,533.3043283613365,-503.0,1448.0,7,14.0,127.2429575920105,2.54485915184021,OK,
smallClassic,MCTS_s20_r4,MCTSAgent,,20,4,50,,998.0,591.984916905804,-449.0,1606.0,34,68.0,261.7785630226135,5.235571260452271,OK,
smallClassic,MCTS_s20_r6,MCTSAgent,,20,6,50,,197.0,673.6167857356456,-711.0,1451.0,22,44.0,532.283664226532,10.64567328453064,OK,
smallClassic,MCTS_s20_r8,MCTSAgent,,20,8,50,,-75.0,564.9222362225826,-480.0,1465.0,8,16.0,542.144668340683,10.84289336681366,OK,
smallClassic,MCTS_s40_r4,MCTSAgent,,40,4,50,,766.5,620.4413405016998,-405.0,1408.0,32,64.0,736.8633449077606,14.737266898155212,OK,
smallClassic,MCTS_s40_r6,MCTSAgent,,40,6,50,,115.0,658.2730576589903,-473.0,1623.0,18,36.0,803.6602463722229,16.073204927444458,OK,
smallClassic,MCTS_s40_r8,MCTSAgent,,40,8,50,,120.5,626.7790665194159,-480.0,1643.0,16,32.0,1043.4410393238068,20.868820786476135,OK,
smallClassic,Hybrid_s10_r4,HybridMCTSAgent,,10,4,50,,1084.0,693.51228596193,-417.0,1713.0,31,62.0,111.01438927650452,2.22028778553009,OK,
smallClassic,Hybrid_s10_r6,HybridMCTSAgent,,10,6,50,,914.5,680.1676993880113,-386.0,1712.0,26,52.0,176.5213348865509,3.530426697731018,OK,
smallClassic,Hybrid_s10_r8,HybridMCTSAgent,,10,8,50,,726.0,670.4291721149185,-421.0,1514.0,25,50.0,261.5255722999573,5.230511445999145,OK,
smallClassic,Hybrid_s20_r4,HybridMCTSAgent,,20,4,50,,1105.5,655.8993122434406,-369.0,1699.0,33,66.0,225.19801211357117,4.5039602422714236,OK,
smallClassic,Hybrid_s20_r6,HybridMCTSAgent,,20,6,50,,1091.5,699.6265464669538,-430.0,1619.0,32,64.0,546.2328100204468,10.924656200408936,OK,
