layout,configuration,agent,depth,simulations,rollout_depth,games,average_score,median_score,std_score,min_score,max_score,wins,win_rate,total_time,average_time,status,error
mediumClassic,Hybrid_s40_r6,HybridMCTSAgent,,40,6,50,,1274.0,649.3577828453617,-336.0,2019.0,33,66.0,1016.2338709831238,20.324677419662475,OK,
mediumClassic,Hybrid_s40_r8,HybridMCTSAgent,,40,8,50,,1339.0,510.46941093815417,-295.0,1967.0,42,84.0,1810.5971190929413,36.211942381858826,OK,
openClassic,Minimax_d1,MinimaxAgent,1,,,50,,-1330.0,1023.0334109544409,-4602.0,-490.0,0,0.0,91.64227294921875,1.832845458984375,OK,
openClassic,Minimax_d2,MinimaxAgent,2,,,50,,-1063.0,811.0434396460573,-3683.0,-415.0,0,0.0,222.356374502182,4.44712749004364,OK,
mediumClassic,Hybrid_s40_r6,HybridMCTSAgent,,40,6,50,,1395.5,582.6137452484985,-95.0,1803.0,35,70.0,336.24774527549744,6.724954905509949,OK,
mediumClassic,Hybrid_s40_r8,HybridMCTSAgent,,40,8,50,,1344.0,586.0564016711329,-465.0,1867.0,39,78.0,656.0960941314697,13.121921882629394,OK,
openClassic,Minimax_d1,MinimaxAgent,1,,,50,,-1354.0,1025.015647692358,-4190.0,-496.0,0,0.0,45.1126914024353,0.902253828048706,OK,
openClassic,Minimax_d2,MinimaxAgent,2,,,50,,-1013.0,1088.2273307559662,-4837.0,-321.0,0,0.0,79.8741979598999,1.5974839591979981,OK,
mediumClassic,Hybrid_s40_r6,HybridMCTSAgent,,40,6,50,1211.3,1340.0,526.7591421869686,-148.0,2000.0,39,78.0,298.6045777797699,5.972091555595398,OK,
mediumClassic,Hybrid_s40_r8,HybridMCTSAgent,,40,8,50,1073.3673469387754,1227.0,605.1778214526961,-200.0,1885.0,34,69.38775510204081,569.0522541999817,11.381045083999634,PARTIAL,1 game(s) timed out after 25s
openClassic,Minimax_d1,MinimaxAgent,1,,,50,-1569.12,-1297.0,890.6448166288036,-3508.0,-450.0,0,0.0,50.45433068275452,1.0090866136550902,OK,
openClassic,Minimax_d2,MinimaxAgent,2,,,50,-1530.64,-1143.0,1069.577424852966,-5155.0,-333.0,0,0.0,120.151034116745,2.4030206823349,OK,
openClassic,Minimax_d3,MinimaxAgent,3,,,50,-1279.7777777777778,-1164.5,751.5746939825214,-3638.0,-126.0,0,0.0,796.0634243488312,15.921268486976624,PARTIAL,14 game(s) timed out after 25s
openClassic,AlphaBeta_d1,AlphaBetaAgent,1,,,50,-1720.7142857142858,-1225.0,1725.930363325131,-7976.0,-264.0,0,0.0,565.5402550697327,11.310805101394653,PARTIAL,22 game(s) timed out after 25s
openClassic,AlphaBeta_d2,AlphaBetaAgent,2,,,50,-2234.2093023255816,-1701.0,1945.706342034999,-8711.0,-47.0,0,0.0,336.681738615036,6.733634772300721,PARTIAL,7 game(s) timed out after 25s
openClassic,AlphaBeta_d3,AlphaBetaAgent,3,,,50,-873.7037037037037,-738.0,652.8543137528885,-1978.0,208.0,1,3.7037037037037037,888.3864223957062,17.767728447914124,PARTIAL,23 game(s) timed out after 25s
openClassic,Expectimax_d1,ExpectimaxAgent,1,,,50,-1626.16,-1469.0,959.3582753112432,-3988.0,-490.0,0,0.0,17.893880605697632,0.35787761211395264,OK,
openClassic,Expectimax_d2,ExpectimaxAgent,2,,,50,-2765.72,-2170.0,2083.838138960835,-8396.0,-310.0,0,0.0,107.93954515457153,2.1587909030914307,OK,
openClassic,Expectimax_d3,ExpectimaxAgent,3,,,50,-940.6,-935.0,631.8220916963537,-1922.0,-182.0,0,0.0,1113.4103481769562,22.268206963539125,PARTIAL,40 game(s) timed out after 25s
openClassic,MCTS_s10_r4,MCTSAgent,,10,4,50,523.5,758.0,548.9988011584992,-1104.0,1171.0,40,80.0,93.7187397480011,1.874374794960022,OK,
openClassic,MCTS_s10_r6,MCTSAgent,,10,6,50,520.5714285714286,663.0,541.0134779590369,-918.0,1138.0,40,81.63265306122449,186.13966298103333,3.7227932596206665,PARTIAL,1 game(s) timed out after 25s
openClassic,MCTS_s10_r8,MCTSAgent,,10,8,50,503.6938775510204,678.0,553.2388424873426,-807.0,1262.0,38,77.55102040816327,256.0386576652527,5.120773153305054,PARTIAL,1 game(s) timed out after 25s
openClassic,MCTS_s20_r4,MCTSAgent,,20,4,50,501.2040816326531,658.0,528.6272702162901,-935.0,1128.0,49,100.0,371.71104431152344,7.434220886230468,PARTIAL,1 game(s) timed out after 25s
openClassic,MCTS_s20_r6,MCTSAgent,,20,6,50,703.4285714285714,815.0,402.6542665033283,-626.0,1247.0,48,97.95918367346938,351.7592930793762,7.035185861587524,PARTIAL,1 game(s) timed out after 25s
openClassic,MCTS_s20_r8,MCTSAgent,,20,8,50,716.8409090909091,829.0,398.63470153044955,-456.0,1233.0,42,95.45454545454545,516.6368243694305,10.33273648738861,PARTIAL,6 game(s) timed out after 25s
openClassic,MCTS_s40_r4,MCTSAgent,,40,4,50,633.7555555555556,776.0,448.01263961246144,-792.0,1239.0,41,91.11111111111111,595.382669210434,11.907653384208679,PARTIAL,5 game(s) timed out after 25s
openClassic,MCTS_s40_r6,MCTSAgent,,40,6,50,833.6486486486486,912.0,247.0700773528092,-116.0,1156.0,36,97.29729729729729,816.6056237220764,16.33211247444153,PARTIAL,13 game(s) timed out after 25s
openClassic,MCTS_s40_r8,MCTSAgent,,40,8,50,875.8928571428571,911.0,325.13784419053366,-618.0,1251.0,27,96.42857142857143,1014.0475416183472,20.280950832366944,PARTIAL,22 game(s) timed out after 25s
openClassic,Hybrid_s10_r4,HybridMCTSAgent,,10,4,50,836.48,954.0,478.848458837044,-1244.0,1377.0,49,98.0,85.68798112869263,1.7137596225738525,OK,
openClassic,Hybrid_s10_r6,HybridMCTSAgent,,10,6,50,841.56,910.5,347.99097806743,-194.0,1317.0,49,98.0,134.5197775363922,2.6903955507278443,OK,
openClassic,Hybrid_s10_r8,HybridMCTSAgent,,10,8,50,771.82,852.0,329.37372173782865,-236.0,1306.0,50,100.0,165.17819833755493,3.3035639667510988,OK,
openClassic,Hybrid_s20_r4,HybridMCTSAgent,,20,4,50,785.44,870.0,367.13063681719063,-514.0,1357.0,49,98.0,141.41660118103027,2.8283320236206055,OK,
openClassic,Hybrid_s20_r6,HybridMCTSAgent,,20,6,50,873.24,996.0,398.87062809786295,-350.0,1326.0,48,96.0,174.57917308807373,3.4915834617614747,OK,
openClassic,Hybrid_s20_r8,HybridMCTSAgent,,20,8,50,679.08,771.0,471.5964999610474,-1156.0,1332.0,48,96.0,314.2700343132019,6.285400686264038,OK,
openClassic,Hybrid_s40_r4,HybridMCTSAgent,,40,4,50,712.4285714285714,852.0,451.73890873674657,-514.0,1369.0,48,97.95918367346938,312.5983018875122,6.251966037750244,PARTIAL,1 game(s) timed out after 25s
openClassic,Hybrid_s40_r6,HybridMCTSAgent,,40,6,50,698.26,827.0,424.70065376229695,-388.0,1358.0,49,98.0,449.04605197906494,8.980921039581299,OK,
openClassic,Hybrid_s40_r8,HybridMCTSAgent,,40,8,50,868.7222222222222,920.5,223.13194189103336,177.0,1273.0,36,100.0,795.9872829914093,15.919745659828186,PARTIAL,14 game(s) timed out after 25s
